logs	Severity
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456789 nicole	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456789 lovely	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456789 ashley	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 123456789 000000	0
[Sun Sep  3 08:02:13 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 51876 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456789 123456789	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456789 iloveyou	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456789 rockyou	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456789 daniel	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456789 jessica	0
[Sun Sep  3 08:02:12 2023] 192.168.1.5 123456789 qwerty	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 123456789 	0
[Sun Sep  3 08:02:13 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 51874 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 password password	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 password 12345678	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 password babygirl	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 password 654321	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 password 111111	0
[Sun Sep  3 08:02:13 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 51932 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 password 12345	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 password 1234567	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 password nicole	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 password lovely	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 password ashley	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 password 000000	0
[Sun Sep  3 08:02:13 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 51944 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 password 123456	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 password iloveyou	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 password princess	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 password abc123	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 password monkey	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 password michael	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 password iloveu	0
[Sun Sep  3 08:02:13 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 51912 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 password 123456789	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 password rockyou	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 password daniel	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 password jessica	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 password qwerty	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 password 	0
[Sun Sep  3 08:02:13 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 51924 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 iloveyou 123456	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 iloveyou iloveyou	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 iloveyou 12345678	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 iloveyou babygirl	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 iloveyou 654321	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 iloveyou 111111	0
[Sun Sep  3 08:02:13 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 51958 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 iloveyou password	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 iloveyou rockyou	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 iloveyou daniel	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 iloveyou jessica	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 iloveyou qwerty	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 iloveyou 	0
[Sun Sep  3 08:02:13 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 51964 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 iloveyou 12345	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 iloveyou princess	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 iloveyou abc123	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 iloveyou monkey	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 iloveyou michael	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 iloveyou iloveu	0
[Sun Sep  3 08:02:13 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 51978 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 iloveyou 123456789	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 iloveyou 1234567	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 iloveyou nicole	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 iloveyou lovely	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 iloveyou ashley	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 iloveyou 000000	0
[Sun Sep  3 08:02:13 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 51960 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 princess 123456789	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 princess nicole	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 princess lovely	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 princess ashley	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 princess 000000	0
[Sun Sep  3 08:02:13 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 52008 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 princess 123456	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 princess 1234567	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 princess rockyou	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 princess daniel	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 princess jessica	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 princess qwerty	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 princess 	0
[Sun Sep  3 08:02:13 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 51992 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 princess 12345	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 princess iloveyou	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 princess princess	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 princess abc123	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 princess monkey	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 princess michael	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 princess iloveu	0
[Sun Sep  3 08:02:13 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 52012 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 princess password	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 princess 12345678	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 princess babygirl	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 princess 654321	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 princess 111111	0
[Sun Sep  3 08:02:13 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 52024 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 1234567 12345	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 1234567 12345678	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 1234567 babygirl	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 1234567 654321	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 1234567 111111	0
[Sun Sep  3 08:02:14 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 52036 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 1234567 123456789	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 1234567 iloveyou	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 1234567 1234567	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 1234567 abc123	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 1234567 monkey	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 1234567 michael	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 1234567 iloveu	0
[Sun Sep  3 08:02:14 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 52040 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 1234567 password	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 1234567 nicole	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 1234567 lovely	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 1234567 ashley	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 1234567 000000	0
[Sun Sep  3 08:02:14 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 52048 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 1234567 123456	0
[Sun Sep  3 08:02:13 2023] 192.168.1.5 1234567 princess	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 1234567 rockyou	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 1234567 daniel	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 1234567 jessica	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 1234567 qwerty	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 1234567 	0
[Sun Sep  3 08:02:14 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 52050 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 rockyou 123456789	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 rockyou iloveyou	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 rockyou princess	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 rockyou 1234567	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 rockyou abc123	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 rockyou monkey	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 rockyou michael	0
[Sun Sep  3 08:02:14 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 52066 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 rockyou 123456	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 rockyou daniel	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 rockyou jessica	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 rockyou qwerty	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 rockyou 000000	0
[Sun Sep  3 08:02:14 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 52062 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 rockyou 12345	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 rockyou 12345678	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 rockyou babygirl	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 rockyou 654321	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 rockyou 111111	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 rockyou 	0
[Sun Sep  3 08:02:14 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 52060 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 rockyou password	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 rockyou rockyou	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 rockyou nicole	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 rockyou lovely	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 rockyou ashley	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 rockyou iloveu	0
[Sun Sep  3 08:02:14 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 52070 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 12345678 123456	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 12345678 babygirl	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 12345678 654321	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 12345678 111111	0
[Sun Sep  3 08:02:14 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 52072 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 12345678 123456789	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 12345678 1234567	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 12345678 12345678	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 12345678 nicole	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 12345678 lovely	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 12345678 ashley	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 12345678 000000	0
[Sun Sep  3 08:02:14 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 52076 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 12345678 password	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 12345678 daniel	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 12345678 jessica	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 12345678 qwerty	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 12345678 	0
[Sun Sep  3 08:02:14 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 52082 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 12345678 12345	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 12345678 iloveyou	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 12345678 princess	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 12345678 rockyou	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 12345678 abc123	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 12345678 monkey	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 12345678 michael	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 12345678 iloveu	0
[Sun Sep  3 08:02:14 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 52078 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 abc123 123456	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 abc123 iloveyou	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 abc123 princess	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 abc123 1234567	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 abc123 nicole	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 abc123 daniel	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 abc123 jessica	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 abc123 qwerty	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 abc123 	0
[Sun Sep  3 08:02:14 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 52088 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 abc123 password	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 abc123 abc123	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 abc123 lovely	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 abc123 ashley	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 abc123 000000	0
[Sun Sep  3 08:02:14 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 52100 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 abc123 123456789	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 abc123 12345678	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 abc123 monkey	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 abc123 michael	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 abc123 iloveu	0
[Sun Sep  3 08:02:14 2023] HASSH: 192.168.1.5 b6e912c842d3786cdb9027615745c7b5 sport: 52102 ttl: 64	0
[Sun Sep  3 07:34:11 2023] ssh-honeypot 0.2.0 started on port 22. PID 3240	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 abc123 12345	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 abc123 rockyou	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 abc123 babygirl	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 abc123 654321	0
[Sun Sep  3 08:02:14 2023] 192.168.1.5 abc123 111111	0
